sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,num_bs_ant,num_ut_per_sector
485.0777893066406,487.7122802734375,5.774735450744629,0.0,6.2960731983184814,0.755605161190033,-2.538057327270508,-120.0,0.8333333134651184,0.8169642686843872,43.01229476928711,0.0,2.660259055206552,6.987740681224652e-12,1.054244799097992e-12,-81.55662536621094,-93.66519927978516,6.977740867747384e-12,0.0,0.0,-110.0,-110.0,-28.4433650970459,-16.334796905517578,0.028257621452212334,487.7122802734375,pf_fs_soft,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,98.54126051871599,3.2906748162000654,2.4720440642093533,0.9658757707740122,6.0,,,,,32,4
483.6609191894531,485.92724609375,5.75786828994751,0.0,6.392000436782837,0.7626451849937439,-3.3274478912353516,-120.0,0.8333333134651184,0.8184523582458496,45.039794921875,0.0,2.6355527855921537,1.1152398449176815e-12,2.501782418382059e-13,-89.52632141113281,-97.959228515625,1.1052398145999787e-12,0.0,0.0,-110.0,-110.0,-20.473682403564453,-12.040778160095215,0.03032519482076168,485.9272766113281,pf_fs_cognitive,5.0,1.0,20.0,0.0,pf,budget_dual,0.0,98.55610207916702,3.2884609443132424,2.5658012387677545,0.9665584062853328,6.0,4.0,4.0,4.0,0.5,32,4
464.6295166015625,460.7591552734375,5.531303882598877,4.299565858900678e-08,5.945893049240112,0.7757378220558167,3.0288002490997314,-120.0,0.8571428656578064,0.831845223903656,42.552734375,0.0,1.3705479877535254,5.240933121514191e-12,9.555855455881113e-13,-82.80591583251953,-93.399658203125,5.2309333080369225e-12,0.0,0.0,-110.0,-110.0,-27.19408416748047,-16.6003475189209,0.05536620691418648,460.7591552734375,du_pf_soft,5.0,1.0,10.0,0.0,pf,budget_dual,1.0,95.47796906256579,3.177057902964497,2.322761976592827,0.9629036332316083,6.0,,,,,32,4
468.470458984375,462.8210754394531,5.577029228210449,1.1286349774763976e-07,6.047746658325195,0.7831165790557861,3.4095582962036133,-120.0,0.8452380895614624,0.8348214030265808,65.87525177001953,0.0,1.372874599415809,1.982786114115842e-12,4.4345440947807235e-13,-87.0272445678711,-95.9926528930664,1.9727860837981392e-12,0.0,0.0,-110.0,-110.0,-22.972759246826172,-14.007354736328125,0.06254541128873825,462.8210754394531,du_pf_cognitive,5.0,1.0,10.0,0.0,pf,budget_dual,1.0,95.4840696391848,3.1780216522845537,2.3693992155908528,0.9612038976500374,6.0,4.0,4.0,4.0,0.5,32,4
473.7371826171875,482.34185791015625,5.639728546142578,0.0,5.7725841999053955,0.7431856393814087,0.4902382791042328,-120.0,0.8571428656578064,0.8392857313156128,54.19437026977539,0.0,2.6671888143755496,2.584408381745007e-12,6.084748590401423e-13,-85.87638854980469,-94.35051727294922,2.574408351427304e-12,0.0,0.0,-110.0,-110.0,-24.123611450195312,-15.649489402770996,0.026631221175193787,482.34185791015625,pf_fs_soft,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,97.11729750561831,3.232308387957792,2.3764843398669004,0.9640195774364849,6.0,,,,,32,4
473.9158020019531,483.09649658203125,5.641854763031006,0.0,5.7440876960754395,0.7354238629341125,-0.2867617905139923,-120.0,0.8571428656578064,0.8377976417541504,56.827335357666016,0.0,2.657525979215279,6.548492217234303e-13,2.077118994381691e-13,-91.83858489990234,-98.5651626586914,6.448492456158361e-13,0.0,0.0,-110.0,-110.0,-18.161413192749023,-11.434844970703125,0.0267622210085392,483.0964660644531,pf_fs_cognitive,5.0,2.0,20.0,0.0,pf,budget_dual,0.0,97.18469175108584,3.2366470680453365,2.4127950276509758,0.9630177107110686,6.0,4.0,4.0,4.0,0.5,32,4
455.13739013671875,462.1529235839844,5.418302059173584,1.3566030611400525e-05,5.236812114715576,0.7453615665435791,4.66765022277832,-120.0,0.8809523582458496,0.855654776096344,60.57624053955078,0.0,1.3562983646988869,3.827641762571554e-12,7.58455310275602e-13,-84.17069244384766,-93.86080169677734,3.817641949094286e-12,0.0,0.0,-110.0,-110.0,-25.82931137084961,-16.139205932617188,0.0564928837120533,462.1529541015625,du_pf_soft,5.0,2.0,10.0,0.0,pf,budget_dual,1.0,94.12284674998368,3.124975219441215,2.338181381834769,0.9596789419882721,6.0,,,,,32,4
453.14569091796875,461.8736877441406,5.394591331481934,0.0,5.450666666030884,0.7507554888725281,3.885798931121826,-120.0,0.8452380895614624,0.8407738208770752,79.43264770507812,0.0,1.3702987609431148,1.122307108358811e-12,3.1567915057158225e-13,-89.49888610839844,-96.75277709960938,1.1123070780411082e-12,0.0,0.0,-110.0,-110.0,-20.501115798950195,-13.247222900390625,0.06289952248334885,461.87371826171875,du_pf_cognitive,5.0,2.0,10.0,0.0,pf,budget_dual,1.0,94.01761397051469,3.1184011607511364,2.3694167806636335,0.9607512385957379,6.0,4.0,4.0,4.0,0.5,32,4
503.3486633300781,497.302734375,5.992246150970459,0.0,6.21968936920166,0.7733978629112244,3.3085575103759766,-120.0,0.8809523582458496,0.8571428656578064,44.2042121887207,0.0,2.674722269177437,1.8636562779117405e-11,1.8385499286205365e-12,-77.29634094238281,-94.3344497680664,1.86265620982784e-11,0.0,0.0,-110.0,-110.0,-32.70365905761719,-15.665550231933594,0.026665719226002693,497.302734375,pf_fs_soft,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,101.79265050516864,3.4228294117061844,2.606891589532101,0.9616751886021618,6.0,,,,,32,4
505.3384704589844,501.2575988769531,6.015933990478516,0.0,6.114913463592529,0.7832698225975037,4.452274799346924,-120.0,0.9047619104385376,0.863095223903656,39.816158294677734,0.0,2.6696255079004914,2.558387963286224e-12,3.296400424759177e-13,-85.92033386230469,-98.7242431640625,2.548387932968521e-12,0.0,0.0,-110.0,-110.0,-24.07966423034668,-11.275753021240234,0.030097024515271187,501.2575988769531,pf_fs_cognitive,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,102.00613213631414,3.4295593376054634,2.5690681870027,0.9626632261292322,6.0,4.0,4.0,4.0,0.5,32,4
