algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
pf_fs_soft,10.0,23.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.32867431640625,-0.0016513163161833155,-0.0158730149269104,0.0
pf_fs_cognitive,10.0,23.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-22.00335693359375,-0.0008836434708413554,-0.0317460298538208,-0.1666666865348816
du_pf_soft,10.0,23.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,12.764373779296875,-0.0033213758178599617,-0.0158730149269104,0.1666666567325592
du_pf_cognitive,10.0,23.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,18.3409423828125,-0.003128682139956762,-0.0158730149269104,-0.1666666865348816
pf_fs_soft,10.0,24.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.52276611328125,-0.0065414699106810525,-0.03968250751495361,0.0
pf_fs_cognitive,10.0,24.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,16.82525634765625,-0.003615052072706293,-0.023809492588043213,0.0
du_pf_soft,10.0,24.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.509063720703125,-0.005243981972523404,0.0158730149269104,0.0
du_pf_cognitive,10.0,24.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,3.7821044921875,-0.004474063958726959,-0.0317460298538208,0.0
pf_fs_soft,10.0,25.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,13.683761596679688,-0.005502365617894744,-0.0158730149269104,0.1666666567325592
pf_fs_cognitive,10.0,25.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,43.523468017578125,-0.004672456814453385,-0.055555522441864014,0.0
du_pf_soft,10.0,25.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-7.330657958984375,-0.00453403498797289,-0.007936537265777588,0.0
du_pf_cognitive,10.0,25.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-6.918060302734375,-0.0009447465631263752,0.0,0.0
pf_fs_soft,10.0,26.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,15.12750244140625,-0.00410410287859897,-0.023809492588043213,0.0
pf_fs_cognitive,10.0,26.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,18.3291015625,-0.0033096703916716264,-0.0476190447807312,0.08333331346511841
du_pf_soft,10.0,26.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-5.484466552734375,-0.0033164686232941554,-0.007936477661132812,0.3333333432674408
du_pf_cognitive,10.0,26.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-4.0174560546875,-0.002044149071321777,-0.0158730149269104,-0.08333331346511841
pf_fs_soft,10.0,27.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,15.459548950195312,-0.004682198809306204,0.023809492588043213,0.0833333432674408
pf_fs_cognitive,10.0,27.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-1.5272216796875,-0.006602991099205702,-0.007936477661132812,0.0
du_pf_soft,10.0,27.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.4179534912109375,-0.003118138156195882,0.007936537265777588,0.0
du_pf_cognitive,10.0,27.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,22.895538330078125,-0.002917087343984104,0.0158730149269104,0.08333331346511841
pf_fs_soft,10.0,28.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.564544677734375,-0.0037314108292001436,-0.0158730149269104,-0.1666666865348816
pf_fs_cognitive,10.0,28.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,10.72064208984375,-0.0006895022638698789,-0.007936477661132812,0.0
du_pf_soft,10.0,28.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,12.976150512695312,-0.0036712613353074852,-0.0158730149269104,0.1666666567325592
